Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2014.1 372  17.5  17.6  28770.44    583.91    583.91  28776.36  30169.95     17.5     1.2
2014.1 372  18.5  18.5  28739.14    693.11    693.11  28747.50  30533.23     19.7     1.4
2014.1 372  19.5  19.4  28673.43    795.96    795.96  28684.48  30912.31     21.9     1.6
2014.1 372  20.5  20.3  28573.19    892.28    892.28  28587.12  31306.73     24.1     1.8
2014.1 372  21.5  21.3  28438.43    981.93    981.93  28455.38  31715.86     26.2     2.0
2014.1 372  22.4  22.2  28269.35   1064.87   1064.87  28289.40  32138.92     28.3     2.2
2014.1 372  23.4  23.2  28066.28   1141.12   1141.12  28089.46  32574.98     30.4     2.3
2014.1 372  24.4  24.1  27829.72   1210.78   1210.78  27856.05  33023.00     32.5     2.5
2014.1 373  25.3  25.1  27560.37   1274.08   1274.08  27589.80  33481.85     34.5     2.6
2014.1 373  26.3  26.1  27259.07   1331.37   1331.37  27291.56  33950.29     36.5     2.8
2014.1 373  27.2  27.1  26926.82   1383.09   1383.09  26962.32  34427.08     38.4     2.9
2014.1 373  28.2  28.2  26564.79   1429.81   1429.81  26603.24  34910.90     40.4     3.1
2014.1 373  29.1  29.2  26174.27   1472.24   1472.24  26215.64  35400.48     42.2     3.2
2014.1 373  30.0  30.3  25756.65   1511.14   1511.14  25800.94  35894.55     44.0     3.4
2014.1 373  30.9  31.4  25313.42   1547.38   1547.38  25360.67  36391.94     45.8     3.5
2014.1 373  31.8  32.5  24846.11   1581.89   1581.89  24896.41  36891.52     47.6     3.6
2014.1 374  32.7  33.6  24356.26   1615.64   1615.64  24409.79  37392.27     49.2     3.8
2014.1 374  33.6  34.8  23845.43   1649.58   1649.58  23902.42  37893.28     50.9     4.0
2014.1 374  34.5  35.9  23315.08   1684.67   1684.67  23375.87  38393.74     52.5     4.1
2014.1 374  35.3  37.1  22766.63   1721.79   1721.79  22831.64  38892.96     54.1     4.3
